Région,Département,Type d'établissement,Association / Fondation,Nom de l'établissement,Capacité,Descrption
PACA,Bouches du Rhône,Accompagnement,Sauvegarde 13,Service Famille I Sauvegarde 13,,"Intervention sociale, éducative et préventive visant à permettre le maintien de l’enfant dans sa famille et prévenir les situations de danger.
Accompagner les parents dans leurs fonctions parentales au quotidien"
PACA,Bouches du Rhône,Accompagnement, La Sauvegarde 13,Espace de rencontre Archipel I La Sauvegarde 13,,"permet dans le cadre d’un accueil collectif de plusieurs familles, une prise en compte personnalisée des relations parents-enfants (visite médiatisée)"
Bourgogne Franche Comté,Cote d'Or,Hébergement, Apprentis d'Auteuil,Maison Sainte-Adélaïde de Bourgogne I Apprentis d'Auteuil,52.0,"Un parcours éducatif avec un système de palier d’autonomie leur est proposé : d’un appartement de 2 places, le jeune accède ensuite à un logement individuel en studio dans la maison puis en ville.                                                                                                                                                Les Fils de Noé                                                                                                                                                                 Situé au centre-ville de Dijon depuis août 2017, ce service d’accompagnement des mineurs non accompagnés, âgés de 15 à 18 ans.                                                                                                              La Touline

Situé au centre-ville de Dijon, ce dispositif est dédié à l’accompagnement des jeunes sortants des dispositifs de protection de l’enfance."
Bourgogne Franche Comté,Cote d'Or,Accueil de jour,ACODEGE,Lieu d'accueil enfants/parents I ACODEGE,,"L’Amarine est un lieu où se développe autour de la naissance une attention à la relation qui va naître entre un bébé et ses parents. Tout parent peut y être accueilli dès la confirmation de la grossesse et jusqu’au premier anniversaire de l’enfant. L’Amarine propose, au cas par cas, un dispositif d’accueil particulièrement soutenant et peut répondre ponctuellement à des demandes d’accueil au-delà de la première année de l’enfant."
Bourgogne Franche Comté,Cote d'Or,Hébergement,PEP,MECS de Beaune I PEP,22.0,accueillant des jeunes mineurs de 13 à 18 ans
Bourgogne Franche Comté,Cote d'Or,Hébergement,PEP,MECS de Dijon I PEP,,accueillant des jeunes mineurs de 6 à 18 ans
Bourgogne Franche Comté,Cote d'Or,Hébergement,PEP,SAF I PEP,,"Le Service accueille Garçons et Filles, de 0 à 18 ans, (voire jusqu’à 21 ans à l’occasion de la signature d’un Accueil Provisoire Jeune Majeur)"
Bretagne,Cotes d'Armor,AEMO,L'Envol 22,AEMO L'Envol 22,100.0,Enfants de 0 à 6 ans et retours de placement ayant une mesure d’AEMO à moyens renforcés.
Bourgogne Franche Comté,Doubs,Centre Educatif,ADDSEA,Centre Educatif Accueil I ADDSEA,20.0,Enfants et adolescents 13 – 18 ans
Auvergne Rhône Alpes,Drome,Accompagnement,AMAPE,AEMO I AMAPE,69.0,"Service de Suivis Extérieurs (SE) SAPMF/AEMOH Loriol & Montélimar
25 places AEMO-H
44 places en SAPMF"
Auvergne Rhône Alpes,Drome,Hébergement,AMAPE,MNA Louma I AMAPE,24.0,Maison d'Accueil LOUMA : 16 Mineurs Non Accompagnés (MNA)
Occitanie,Haute Garonne,Hébergement,ADES Europe,SAU Gaïa I ADES Europe,7.0,"Ce service d'urgence accueille les enfants de 0 à 12 ans (jusqu’à 15 ans 
lors de fratrie). "
Nouvelle Aquitaine,Gironde,Accompagnement,Institut Don Bosco,Service de Prévention Spécialisée Feu Vert I Institut Don Bosco ,,Prévenir et traiter les risques d’inadaptation sociale des jeunes de 11 à 25 ans sur le territoire de Gradignan.
Bretagne,Ille et Vilaine,Hébergement,Armée du Salut,Lieu de Vie de Pleugueneuc I Armée du Salut,6.0,"Agés de 15 à 21 ans, ils vivent dans une chambre individuelle ou dans un logement partagé. Chacun bénéficie d’un accompagnement adapté à ses besoins et à ses difficultés"
Centre Val de Loire,Indre,Centre Educatif,Adiaseaa,CER I Adiaseaa,7.0,"Ce sont des garçons âgés de 13 à 18 ans.
On recherche l’homogénéité du groupe suivant les sessions : 13/16 et 16/18, afin de permettre une cohérence dans notre prise en charge quotidienne au regard des besoins des jeunes accueillis ainsi que l’approche du travail tant scolaire que professionnel."
Centre Val de Loire,Indre et Loire,AEMO,Groupe SOS Jeunesse,AEMO 37 I Groupe SOS Jeunesse,250.0,le service AEMO 37 est habilité à exercer 250 mesures
Centre Val de Loire,Indre et Loire,Hébergement,Groupe SOS Jeunesse,Accompagnements de MNA I Groupe SOS Jeunesse,89.0,"Les mineurs non accompagnés (MNA) sont des jeunes particulièrement fragilisés et vulnérables. Isolés de leur famille ou d’adulte référent dans leur pays d’accueil, ils courent de multiples dangers, dont notamment le risque d’exploitation par des réseaux de toutes sortes."
Bourgogne Franche Comté,Jura,AEMO,La Sauvegarde de l'Enfance,AEMO I La Sauvegarde de L'Enfance ,,Valeur par défaut
Nouvelle Aquitaine,Landes,Hébergement,ASAEL,MECS Les Acacias I ASAEL,12.0,"Adolescents et jeunes majeurs assujettis à une mesure de l'ASE :
Hébergement de Nuit Eclaté : 12 places                                                          Le foyer éclaté s’adresse à des personnes ayant la capacité à vivre seul ou à deux, en ville ; il requiert une bonne autonomie pratique. L’équipe éducative apporte aux résidants une aide personnalisée et un soutien dans leur vie quotidienne, leurs démarches extérieures"
Auvergne Rhône Alpes,Loire,Hébergement,Itinova,MECS La Clairière I Itinova,49.0,"49 places dans le cadre de l’Internat pour l’accueil de mineurs âgés de 6 à 18 ans dans les 3 Villas, 10 places au service de Placement Familial pour l’accueil d’enfants de 6 à 18 ans"
Grand Est,Marne,Hébergement,ALEFPA,Séjour d'accueil de Maison Educative de Reims I ALEFPA,20.0,"Public accueilli : Garçons de 11 à 18 ans
Type de prise en charge : Prise en charge de jeunes garçons en difficultés sociales et ou familiales"
Grand Est,Marne,Accueil de jour,ALEFPA,ITEP de Bezannes I ALEFPA ,7.0,"ifficultés psychologiques avec troubles du comportement, mixte"
Pays de la Loire,Mayenne,AEMO,Association Chante Clair,AEMO I Association Chante Clair,,767 mesures d'aemo réparti sur tout le département4
Pays de la Loire,Mayenne,AEMO,INALTA,AEMO 53 I INALTA,,Valeur par défaut
Pays de la Loire,Mayenne,Centre Educatif,INALTA,CER 53 I INALTA,,accompagne des mineurs en difficultés
Grand Est,Meurthe et Moselle,AEMO,Groupe SOS Jeunesse,AEMO 54 I Groupe SOS Jeunesse,,"Enfants et adolescents de 0 à 18 ans et leurs parents pour lesquels une mesure d’Action éducative en milieu ouvert (AEMO) a été ordonnée. 6 antennes :Antenne de Briey, Antenne de Longwy, Antenne de Nancy Couronne, Antenne de Terres de Lorraine, Antenne de Val de Lorraine, Antenne du Lunévillois"
Grand Est,Meurthe et Moselle,AEMO,Association REALISE,AEMO Maxéville I Association REALISE,30.0,660 jeunes et adolescent(e)s et jeunes adultes âgé(e)s de 0 à 18 ans sont suivi(e)s par an par les équipes du service d’AEMO.
Grand Est,Meurthe et Moselle,Accompagnement,Association REALISE,Espace famille I Association REALISE,130.0,"Pour des jeunes et adolescent(e)s âgé(e)s de 0 à 18 ans

Espace Famille de REALISE c’est plus de 600 droits de visite qui sont réalisés.
Ces rencontres concernent 120 à 135 mineurs ces derniers années.
L’âge est très variable : de quelques mois jusqu’à 18 ans, mais la majorité des enfants se situe dans la tranche d’âge 7/13 ans."
Grand Est,Moselle,AEMO,CMSEA,AEMO I CMSEA,2458.0,"2458 mesures, réparti en 5 sites : 
Pôle Petite Enfance (ETAPE - APSAP), Site de Metz, 
Site de Sarreguemines, Site de
Sarrebourg, Site de Thionville"
Hauts de France,Nord,AEMO,La Sauvegarde du Nord,Médiation Familiale + AEMO I La Sauvegarde du Nord,,Valeur par défaut
Hauts de France,Nord,AEMO,La Sauvegarde du Nord,AEMO I La Sauvegarde du Nord,,Valeur par défaut
Hauts de France,Nord,Accompagnement,Apprentis d'Auteuil,MEC Saint-Jacques I Apprentis d'Auteuil,20.0,20 places en Intervention Educative à Domicile renforcée.
Grand Est,Meuse,Hébergement,Action Enfance,PAD | Village d'enfants de Bar-le-Duc I Action Enfance,18.0,"Un service de placements éducatifs à domicile (PEAD) pour 18 enfants a été créé en septembre 2020, permettant de sécuriser les retours en famille. "
Grand Est,Moselle,Hébergement,Moissons Nouvelles,MNA Woippy I Moissons Nouvelles,6.0,6 places de mineurs non accompagnés (MNA)
Grand Est,Vosges,Hébergement,Vosges conseil départemental,MEF | Vosges conseil départemental,52.0,"►La pouponnière  : accueil en internat d’enfants âgés de 0 à 6 ans : capacité théorique de 10 places + 2 pour les urgences.

►Pomme-Cannelle : accueil en externat d’enfants âgés de 2 à 5 ans : capacité théorique : 6 places.

► L'accueil parental : service chargé d’accompagner les couples/ femmes enceintes ou avec enfants de moins de 3 ans : capacité théorique : 8 places mères/pères-enfants

L'ENFANCE

L’équipe éducative et pluridisciplinaire institue un cadre sécurisant et structurant pour une prise en charge éducative, affective, matérielle et psychologique. Naturellement, il convient là également lorsque c’est possible de restaurer la place du parent, dans le cadre de ses droits et de ses devoirs.

► Le groupe des scolaires : 12 agents : accueil en internat d’enfants âgés de 4 à 11 ans : capacité théorique de 9 places + 2 pour les urgences.

► Chrysalides (à Remiremont) : service spécialisé dans l’accueil de fratries, prend en charge des enfants d’âge scolaire : capacité théorique : 10 places + 1 pour les urgences.

L’ADOLESCENCE

Outre, les missions vues pour l’enfance, il faut là accompagner le jeune pour sa future vie d’adulte en visant son intégration sociale, scolaire et/ ou professionnelle. Le malaise identitaire inhérent à ce passage de la vie exige une écoute, une adaptation et une vigilance de tous les instants de la part des équipes en charge de ces groupes.

►Hébé : accueil en internat de jeunes filles âgés de 14 à 18 ans. 
3 places + 1  pour les urgences"
Centre Val de Loire,Indre et Loire,Hébergement,Sauvegarde 37,SAPMN I Sauvegarde 37,46.0,"Pour les jeunes de 16 à 21 ans, en ayant la capacité, l’accueil et l’accompagnement en appartements individuels offrent la possibilité de soutenir les processus d’autonomisation, d’insertion professionnelle et d’intégration sociale et citoyenne."
Centre Val de Loire,Indre et Loire,Hébergement,Sauvegarde 37,DAEMNA I Sauvegarde 37,70.0,"16 à 18 ans, en appartements collectifs et individuels"
Bretagne,Cotes d'Armor,Hébergement,L'Envol 22,MECS Ty Tremen I L'Envol 22,20.0,"Héberger et accompagner 20 jeunes Mineurs Non accompagnés, âgés de 14 à 18 ans, confiés au titre d’une assistance éducative ou d’une tutelle d’État, en vue de la mise en œuvre de leurs projets individuels."
Auvergne Rhône Alpes,Haute Savoie,Hébergement,Championnet,SESSAD I Championnet,22.0,"SESSAD : 22 places pour garçons et filles de 0 à 20 ans, selon plusieurs modalités : accueil de jour, suivi ambulatoire."
Auvergne Rhône Alpes,Isère,Hébergement,Le Prado,MECS Le quai des mômes I Le Prado ,8.0,Enfants de 4 à 12 ans
Auvergne Rhône Alpes,Isère,Hébergement,Itinova,MECS Etoile du Rachais I Itinova,55.0,• 2 places sur le dispositif du Fil Rouge (Accueil de jour) • 9 places sur le dispositif du SAF (Service d’Accompagnement Familial) : accompagnement à partir du domicile. 6-21 ans
Auvergne Rhône Alpes,Loire,Hébergement,Itinova,PEXT La Clairière I Itinova,12.0,"Des filles et des garçons âgés de 6 à 18 ans, Placement Externalisé (PEXT)."
Auvergne Rhône Alpes,Rhone,Placement Familial,Apprentis d'Auteuil,Placement La Providence I Apprentis d'Auteuil,40.0,"40 places pour des filles et garçons, âgés de 0 à 18 ans"
Auvergne Rhône Alpes,Rhone,Placement Familial,Apprentis d'Auteuil,Placement La Providence I Apprentis d'Auteuil,18.0," Le service est habilité à accompagner 18 enfants de 6 à 18 ans. Il propose trois modalités de suivi externalisé:
une formule alternative au placement traditionnel évitant la séparation enfant-parents et permettant une observation-orientation.
un accompagnement de sortie de placement, à l’issue d’un séjour à la maison d’enfants ou chez un assistant familial du service FE de la Providence Saint-Nizier, pour favoriser un retour efficient du jeune en famille, dans un contexte encore fragile.
une préparation à la séparation enfants-parents si la situation le nécessite"
Normandie,Orne,Accompagnement,Normandie Générations,AEMO d'Argentan I Normandie Générations,,Ce service est une mesure de protection de l’enfance qui se met en place lorsqu’un enfant est en situation de danger. Le milieu ouvert signifie que l’intervention se fait au domicile et dans les différents lieux fréquentés par le mineur.
Occitanie,Pyrénées Orientales,Placement à Domicile,Apprentis d'Auteuil,AFD Saint-Jordi I Apprentis d'Auteuil,45.0,Service AFD (Accompagnement Familial à Domicile): 45 mesures d’enfants confiés
Grand Est,Bas Rhin,AEMO,ARSEA,AEMO 67 I ARSEA,,AEMO 67 exerce des missions de protection de l’enfance en faveur de mineurs de 0 à 18 ans.
Grand Est,Haut Rhin,Hébergement,ARSEA,MECS Les Hirondelles I ARSEA,40.0,accueille des jeunes filles âgées de 13 à 18 ans
Grand Est,Haut Rhin,AEMO,ARSEA,AEMO 68 de Mulhouse I ARSEA,90.0,le site Bassin exerce des missions de protection de l’enfance en faveur de mineurs de 0 à 18 ans.
Grand Est,Haut Rhin,AEMO,ARSEA,AEMO 68 de Colmar I ARSEA,50.0,Service AEMO de Colmar exerce des missions de protection de l’enfance en faveur de mineurs de 0 à 18 ans
Auvergne Rhône Alpes,Rhone,Placement Familial,Acolea, SAF Notre Dame I Acolea,12.0,"Le service d’accueil familial accompagne 12 enfants et adolescents âgés de 2 à 18 ans confiés par le service départemental de l’aide sociale à l’enfance ou par le juge des enfants, dans le cadre d’une protection administrative ou judiciaire."
Pays de la Loire,Sarthe,Hébergement,INALTA,Dispositif d'accueil d'urgence 72 I INALTA,,Les mineurs (filles et garçons à partir de 13 ans) accueillis dans le dispositif d'accueil d'urgence dans le cadre d'une décision administrative ou judiciaire relèvent d'une prise en charge singulière
Auvergne Rhône Alpes,Haute Savoie,Hébergement,MDEF,Accueil Mères et Enfants I MDEF (Département),,"Centre parental : accueil mère, père ou parents et enfants

Accueil femme majeure ou mineure enceinte

Accueil Familial d'Urgence enfant de 0 à 6 ans dans le cadre d'un placement ASE

Visites médiatisées

Crèche + espace enfants"
Auvergne Rhône Alpes,Haute Savoie,Hébergement,MDEF,Pouponnière I MDEF (Département),,Les pouponnières à caractère social propose un service de garde jour et nuit d'enfants de moins de trois ans accomplis qui ne peuvent ni rester au sein de leur famille ni bénéficier d'un placement familial surveillé. L'état de santé des l'enfants ne doit pas nécessiter de soins médicaux.
Ile de France,Paris,AEMO,Asso Olga Spitzer,AEMO Flandre I Asso Olga Spitzer,,"Secteurs d’intervention :
1er, 2ème, 3ème, 7ème, 8ème, 16ème, 17ème, 18ème, 19ème"
Ile de France,Paris,AEMO,Asso Olga Spitzer,AEMO Hauteville I Asso Olga Spitzer,,"Secteurs d’intervention :
4ème, 5ème, 6ème, 9ème, 10ème, 11ème, 12ème, 20ème"
Ile de France,Paris,AEMO,Asso Olga Spitzer,AEMO Louis Morard I Asso Olga Spitzer,,"Secteurs d’intervention :
13ème, 14ème, 15ème 14ème"
Ile de France,Seine et Marne,AEMO,Groupe SOS Jeunesse,AEMO 77 I Groupe SOS Jeunesse,,Valeur par défaut
Ile de France,Yvelines,AEMO,Groupe SOS Jeunesse,AEMO 78 I Groupe SOS Jeunesse,,"0 à 21 ans. Le service AEMO 78 se divise ainsi :

L’antenne de Poissy, 5-7 rue Charles Edouard Jeanneret, 78300 Poissy
L’antenne de Plaisir, 17B rue des Frères Lumière, 78370 Plaisir"
Occitanie,Tarn,Hébergement,Arseaa,MECS Lucie Aubrac I Arseaa,13.0,Une service Mineurs Non Accompagnés (MNA) et jeunes adultes (en appartements) de 13 places dédiées
PACA,Vaucluse,AEMO,ADVESEA 84,AEMO I ADVSEA 84,,"Le service AEMO exerce, au titre de la protection de l’enfance, des mesures d’assistance éducative au bénéfice d’enfants et d’adolescents."
Bourgogne Franche Comté,Yonne,Hébergement,ALEFPA,MECS Cadets Chaumot I ALEFPA,6.0,"Hébergement Complet Internat : 6 places, Établissement Mixte"
Ile de France,Essone,AEMO,Asso Olga Spitzer,AEMO  de Corbeil / Asso Olga Spitzer,,239 mesures
Ile de France,Essone,AEMO,Asso Olga Spitzer,AEMO d'Etampes I Asso Olga Spitzer,,239 mesures
Ile de France,Essone,AEMO,Asso Olga Spitzer,AEMO d'Evry I Asso Olga Spitzer,,239 mesures
Ile de France,Essone,AEMO,Asso Olga Spitzer,AEMO de Palaiseau / Asso Olga Spitzer,,239 mesures
Ile de France,Hauts de Seine,AEMO,Asso Olga Spitzer,AEMO + AED Pôle Nanterre I Asso Olga Spitzer,,Valeur par défaut
Ile de France,Hauts de Seine,AEMO,Asso Olga Spitzer,AEMO + AED Pôle Asnières I Asso Olga Spitzer,,Valeur par défaut
Ile de France,Hauts de Seine,AEMO,Asso Olga Spitzer,AEMO + AED Pôle Colombes I Asso Olga Spitzer,,Valeur par défaut
Ile de France,Hauts de Seine,AEMO,Asso Olga Spitzer,AEMO + AED Pôle Clamart I Asso Olga Spitzer,,Valeur par défaut
Ile de France,Val de Marne,Hébergement,Apprentis d'Auteuil,MNA Sacré-Coeur I Apprentis d'Auteuil,45.0,"Deux dispositifs d'accompagnement de jeunes mineurs non accompagnés (MNA) 
L’unité de vie Rosa Parks à Vitry-sur-Seine :
Hébergement collectif, 15 places, garçons, 14 à 18 ans
Le dispositif Malala Yousafsai 
Appartements partagés de 3 ou 4 places ou studios individuels à Thiais, Vitry-sur-Seine, Choisy-le-Roi et Ivry-sur-Seine
Plateforme d’accueil de jour à Thiais, 27 places, mixte, 16 à 18 ans"
Auvergne Rhône Alpes,Savoie,Placement Familial,La Sauvegarde des Savoie,Placement Familial I La Sauvegarde des Savoie,37.0,Ce service accueille 37 jeunes âgés de 13 à 21 ans.
Auvergne Rhône Alpes,Savoie,AEMO,La Sauvegarde des Savoie,AEMO I La Sauvegarde des Savoie,420.0,"Plus de 420 jeunes accueillis 
Accompagnement entre 1 et 2 ans
File active : 636 mineurs/an"
Auvergne Rhône Alpes,Savoie,Accompagnement,Département de la Savoie,Prévention I Département de la Savoie,33.0,"    la prévention : en aidant les parents dans leur rôle éducatif et en permettant l’épanouissement de l’enfant en lien étroit avec sa famille  dans les services d’action sociale éducatif de proximité (SASEP) :

Le Colibri (enfants de 3 à 15 ans) : 33 places"
Auvergne Rhône Alpes,Savoie,Accompagnement,Département de la Savoie,Accompagnement Familial I Département de la Savoie,50.0,"       l’accompagnement familial : ce dispositif propose de soutenir et d’accompagner les liens parents/enfants lors de visites accompagnées, médiatisées et d’entretiens familiaux :

La maison de la Famille : une cinquantaine de situations/an."
Auvergne Rhône Alpes,Savoie,Hébergement,Les Etoiles d'Hetia,MECS Chaudan I Les Etoiles d'Hetia,63.0," Point Virgule, un Accueil de Jour de 9 places pour des jeunes, de 5 à 18 ans ainsi que leurs parents.

La prise en charge a lieu en journée et peut être considérée comme un véritable appui à la parentalité.

 Cairn / Trajectoires, un dispositif de séjour de répit individuel et collectif de 2 à 6 places, accueillant des jeunes de 12 à 18 ans.

La prise en charge est individuelle (un professionnel pour un jeune) afin de trouver des issues favorables à des situations ne rentrant pas dans le champ de compétences des autres dispositifs. Concrétement, des mini-séjours s'organisent entre le jeune et son éducateur dans le but de favoriser un contexte d'écoute, d'échange et de confiance.

 Enfin, deux Services d'Accompagnement Social et Éducatif de Proximité (SASEP) accompagnent et soutiennent les familles dans une optique de prévention afin de chercher des solutions dans le but d'éviter le développement de situations plus lourdes, ici encore afin d'améliorer le bien-être de l'enfant.

La Courte Échelle, un SASEP accueillant 15 filles et garçons de 2 à 10 ans et leur famille.

Le Lieudit, un SASEP accueillant 15 filles et garçons, de 7 à 18 ans et leur famille.

 Le SEMOH (Service Éducatif en Milieu Ouvert avec Hébergement) pour une capacité d'accueil de 18 jeunes, de 3 à 18 ans."
Auvergne Rhône Alpes,Savoie,Hébergement,La Sauvegarde des Savoie,Internat MNA I La Sauvegarde des Savoie,33.0,"ce dispositif accueille au total 33 mineurs des deux sexes, âgés de 13 à 18 ans, tout au long de l’année, 24 h sur 24"
Auvergne Rhône Alpes,Savoie,Hébergement,La Sauvegarde des Savoie,Accueil Urgence I La Sauvegarde des Savoie,13.0,13 Jeunes adolescents des 2 sexes âgés de 13 à 18 ans.
Auvergne Rhône Alpes,Savoie,Hébergement,Fondation Bocage,MECS Le Prieuré I Fondation Bocage,15.0,"Le Prieuré se situe à l’extérieur de l’institution et de la ville, dans un cadre privilégié. Il propose 15 places pour des jeunes de 8 à 18 ans."
Auvergne Rhône Alpes,Savoie,Hébergement,Association Le Val de Crene,MECS Le Val de Crene I Association Le Val de Crene,102.0,"Établissement Mixte, Hébergement Complet Internat : 36 places, 5 à 18 ans. En 2023, 102 places agréés (MECS, SHE, SASEP, SEMO-h) et 34 places conventionnées par la CAF (12 au LAEP) et CD73 (12 en VA et 10 en SEF)."
Auvergne Rhône Alpes,Savoie,Hébergement,Fondation Bocage,MECS Le Relais Familial I Fondation Bocage,12.0,"Elle propose 12 places au château pour des jeunes de 6 à 14 ans et 9 places dans la maison du parc, pour les 14 à 18 ans."
Auvergne Rhône Alpes,Savoie,Hébergement,Fondation Bocage,MECS Le Bocage I Fondation Bocage,74.0,Hébergement Complet Internat : 74 places (74 hommes)
Auvergne Rhône Alpes,Isère,Hébergement,Apprentis d'Auteuil,SAJ Jean-Marie Vianney I Apprentis d'Auteil,45.0,En complément 45 places sont proposés pour le Service d’Accueil et d’Orientation pour les mineurs non Accompagnés.  12 à 18 ans
Auvergne Rhône Alpes,Drome,Hébergement,Sauvegarde 26,AEMO | Sauvegarde 26,823.0,CADRE LÉGAL : L’arrêté n° 06-4242 du 29 août 2006 a habilité le service AEMO pour une capacité d’accueil simultanée fixée à 823 mesures.
Grand Est,Meurthe et Moselle,Hébergement,Les Amis de la Chaumière,MECS de Méhon,48.0,Établissement Mixte
Grand Est,Meurthe et Moselle,Hébergement,Les Amis de la Chaumière,MECS La Chaumière I Les Amis de la Chaumière,49.0,Il accueille aujourd’hui 49 enfants de 03 à 18 ans
Grand Est,Meurthe et Moselle,Hébergement,Les Amis de la Chaumière,Lieu de vie I Les Amis de la Chaumière,6.0,Il accueille 6 enfants âgés de 11 à 18 ans
Grand Est,Meurthe et Moselle,Placement à Domicile,Les Amis de la Chaumière,PAD I Les Amis de la Chaumière,118.0,UNE INSTITUTION QUI ACCUEILLE 118 ENFANTS DE 03 À 18 ANS EN MEURTHE-ET-MOSELLE
Grand Est,Meurthe et Moselle,AEMO,Les Amis de la Chaumière,AEMO I Les Amis de la Chaumière,,Valeur par défaut
Hauts de France,Oise,Hébergement,Ferme de Sorel,Lieu de Vie I Ferme de Sorel,10.0,"L’association lieu de vie « la Ferme de Sorel », qui ne constitue pas un établissement au sens de l’alinéa III de l’article L.312-1 du code de l’action sociale et des familles."
Hauts de France,Oise,Hébergement,Association Saint Joseph,MECS Anne Marie Javouhey I Association Saint-Joseph,50.0,accompagner 50 enfants de 3 à 18 ans. 5 maisonnées indépendantes regroupées autour d’une grande cour centrale
Hauts de France,Oise,Accueil de jour,Association Saint Joseph,Accueil de Jour Anne Marie Javouhey I Association Saint Joseph,25.0,"25 mineurs âgés de 3 à 17 ans, seul ou en fratrie"
Hauts de France,Oise,Hébergement,Association La Clé des Champs,MECS La Clé des Champs I Association La Clé des Champs,38.0,"Répartis en trois groupes de vie verticaux (« petits » de 3 à 9 ans, « moyens » de 7 à 11 ans, « grands » de 11 à 16 ans), les enfants bénéficient de chambres individuelles (9m²) ou doubles (14m²)"
Hauts de France,Oise,Hébergement,Temps de Vie,MECS St-Jean Tracy I Temps de Vie ,36.0,"enfants et adolescents, internat, accueil de fratries, accueil modulé
3 à 18ans,  Les Coccinelles (de 3 à 6 ans), les Troubadours (de 6 à 10 ans), les Matisse (de 10 à 18 ans)"
Hauts de France,Oise,Hébergement,Temps de Vie,MECS Louise d'Origny I Temps de Vie,38.0,"Enfants et adolescents, internat, accueil de fratries
2 à 18ans"
Auvergne Rhône Alpes,Isère,Hébergement,Itinova,MECS Etoile du Rachais I Itinova,55.0,• 2 places sur le dispositif du Fil Rouge (Accueil de jour) • 9 places sur le dispositif du SAF (Service d’Accompagnement Familial) : accompagnement à partir du domicile. 6-21 ans
Centre Val de Loire,Eure et Loir,AEMO,ADSEA 28,AEMO I ADSEA 28,720.0,"Capacité d’accueil : 720 mesures d’AEMO, 130 AED, 40 actions éducatives renforcées.

Durée d’une ordonnance : 1 an

Durée du jugement : 2 ans max."
Centre Val de Loire,Eure et Loir,Hébergement,ADSEA 28,Hébergement Educatif I ADSEA 28,39.0,"garçons et filles de 12 à 18 ans                                                                                                                 Capacité d’accueil en Maison d’enfants à caractère social (MECS) : 39 places

Mode de scolarité : Établissements scolaires et de formation environnants

Ouvert toute l’année sans interruption "
Centre Val de Loire,Eure et Loir,Hébergement,ADSEA 28,Médiation Familial I ADSEA 28,55.0,"Accueil familial :
1 secrétaire comptable
3,5 éducateurs
1 psychologue                                      30 assistants familiaux"
Bretagne,Ille et Vilaine,Hébergement,ARASS,MECS Bréquigny I ARASS,20.0,"6 à 18 ans, 8 sur la MECS – 12 sur le DAAP"
Bretagne,Ille et Vilaine,Hébergement,ARASS,MECS Le Pavillon I ARASS,16.0,Établissement Mixte
Bretagne,Ille et Vilaine,Hébergement,ARASS,Maison du Rheu I ARASS,8.0,"Capacité d’accueil : 8 places en collectiif

Age de l’accueil : 6 à 18 ans"
Bretagne,Ille et Vilaine,Hébergement,ARASS,MNA u2a I ARASS | Chateaubourg,30.0,"Capacité d’accueil : 22 places en collectif et 8 en appartements 

Age de l’accueil : 14 à 18 ans"
Bretagne,Ille et Vilaine,Hébergement,ARASS,La Maison I ARASS,10.0,"Capacité d’accueil :10 places (6 en collectif, 2 places en studio sur site et 2 places en appartement de grande proximité)

Age de l’accueil : 15 à 18 ans"
Bretagne,Ille et Vilaine,Hébergement,ARASS,Foyer du Blosne I ARASS,16.0,15 à 18 ans
Bretagne,Ille et Vilaine,AEMO,ARASS,AEMO I ARASS,,Valeur par défaut
Bretagne,Ille et Vilaine,Hébergement,Fondation Solacroup Hebert,MECS Notre Dame du Roc I Fondation Solacroup Hebert,,"La Maison ""Les Moussaillons"" pour les enfants de 3 à 6 ans, La Maison ""Alizés"", ""Odyssée"" et ""Horizon"" pour les enfants de 6 à 21 ans."
Bretagne,Ille et Vilaine,Hébergement,PEP35,MECS Carcé I PEP35,74.0,"Mixité
Établissement Mixte
Enfants et adolescents assujettis à une mesure de l'ASE ou placés par la PJJ
Hébergement Complet Internat : 38 places                                                                                     Adolescents et jeunes majeurs assujettis à une mesure de l'ASE
Hébergement Complet Internat : 36 places
Internat de Semaine : 34 places "
Bretagne,Ille et Vilaine,Hébergement,PEP35,Lieu de Vie Marmailles I PEP35,6.0,Enfants de 6 à 12 ans (garçon et fille)
Bretagne,Ille et Vilaine,Hébergement,PEP35,Maison du Couesnon I PEP35,52.0,"Les jeunes peuvent être hébergés sur un internat collectif (Service internat : 11 places – 6 à 18 ans ; Service Panorama : 10 places – 15 à 18 ans), en appartement individuels à proximité (31 places – 16 à 21 ans)"
Bretagne,Ille et Vilaine,Hébergement,PEP35,Foyer La Passerelle I PEP35,28.0,"Les jeunes peuvent être hébergés sur un internat collectif (Service Ty Yaouank : 10 places – 15 à 18 ans), en appartement individuels à proximité (Service Mozaïk : 18 places – 16 à 21 ans) "
Bretagne,Ille et Vilaine,Placement à domicile,PEP35,PAD I PEP35,4.0,"Deux places en appartement de proximité (de la maison des moyens) pour des jeunes plus âgés en capacité d’expérimenter un quotidien plus autonome.
L’accueil familial chez deux professionnels bénéficiant de l’appui technique de la Maison de Gannedel."
Bretagne,Ille et Vilaine,Accompagnement,PEP35,PAD I PEP35,6.0,Le Dispositif Alternatif au Placement proposé à 6 jeunes pour sécuriser le maintien au domicile familial et pour travailler des liens intrafamiliaux et de soutenir la parentalité.
Bourgogne Franche Comté,Doubs,Hébergement,Association SERVIR,MECS Villa des Roses I Association SERVIR,14.0,éduquer et accompagner des enfants de 6 à 18 ans et jeunes adultes de 18 à 21 ans
Bourgogne Franche Comté,Doubs,Hébergement,Département du Doubs,Maison de la Chaille I Département du Doubs,15.0,"accueille 15 enfants, de 6 à 14 ans"
